Relative_Residual,Relative_Normal_Residual,Objective,Relative_Reconstruction_Error,Solver,Runtime_s,Iterations,Converged,Info,Lambda,Repeat,N,M,Views,Noise_Level,Tolerance,Max_Iterations
0.00028384536276946954,9.90681766755449e-06,116.15112183929507,0.23955258809640192,CG,955.7472389950417,120,False,120,1e-06,1,1048576,65536,64,0.002,1e-06,120
0.0008169198603477561,2.1551105611821718e-05,961.864035147374,1.8411613964407854,PCG,880.1222987771034,120,False,120,1e-06,1,1048576,65536,64,0.002,1e-06,120
0.0002828383803446307,7.916362596448994e-06,115.32889721154673,0.23955627014620104,LSQR,892.2708310429007,120,False,7,1e-06,1,1048576,65536,64,0.002,1e-06,120
0.0003002625074821118,1.8036876115905844e-06,129.9682732138198,0.23956929008881034,LSMR,949.9715673970059,120,False,7,1e-06,1,1048576,65536,64,0.002,1e-06,120
0.0002685015741907564,1.0241711853485252e-05,103.93959901590591,0.23956193174944326,CG,849.6832013712265,120,False,120,1e-06,2,1048576,65536,64,0.002,1e-06,120
0.0007951612070233147,2.1934995679736692e-05,911.3233475111352,1.84119964235683,PCG,772.5525609119795,120,False,120,1e-06,2,1048576,65536,64,0.002,1e-06,120
0.0002698702783715421,7.679084508355055e-06,105.00134425722104,0.23956257307585613,LSQR,774.9828897449188,120,False,7,1e-06,2,1048576,65536,64,0.002,1e-06,120
0.00028643636253737723,1.765519795041051e-06,118.28024933275582,0.23957832899626683,LSMR,773.942485243082,120,False,7,1e-06,2,1048576,65536,64,0.002,1e-06,120
0.00027756680795332613,1.4298109228219398e-05,111.62719384076287,0.23955070884379487,CG,772.5850326879881,120,False,120,1e-05,1,1048576,65536,64,0.002,1e-06,120
0.0008201438164091554,2.3441503299580148e-05,971.9705815860704,1.8411888423028502,PCG,772.9177755280398,120,False,120,1e-05,1,1048576,65536,64,0.002,1e-06,120
0.0002773824718284694,9.362191531851603e-06,111.47980263949347,0.2395526749633302,LSQR,775.3329732040875,120,False,7,1e-05,1,1048576,65536,64,0.002,1e-06,120
0.0002947005391964321,1.7714774468458122e-06,125.75471919602974,0.23958521021437518,LSMR,773.6651543700136,120,False,7,1e-05,1,1048576,65536,64,0.002,1e-06,120
0.0002741104208538299,1.3594678444622924e-05,108.87719907890542,0.23955697303822088,CG,772.2317593153566,120,False,120,1e-05,2,1048576,65536,64,0.002,1e-06,120
0.000812569294847713,2.4748476476772928e-05,954.1293720142634,1.8411904096502016,PCG,773.0001364187337,120,False,120,1e-05,2,1048576,65536,64,0.002,1e-06,120
0.00027375570883225736,7.82407406075749e-06,108.59720127010976,0.23955920541686834,LSQR,774.9135789140128,120,False,7,1e-05,2,1048576,65536,64,0.002,1e-06,120
0.0002904364701777195,1.7532213928511253e-06,122.15683816546911,0.2395873219524038,LSMR,773.6529502691701,120,False,7,1e-05,2,1048576,65536,64,0.002,1e-06,120
