Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Std_Iterations,Convergence_Rate,Mean_Relative_Residual,Mean_Relative_Normal_Residual,Mean_Objective,Mean_Relative_Reconstruction_Error
1e-06,CG,902.7152201831341,74.99860024382487,120.0,0.0,0.0,0.000276173468480113,1.0074264760519871e-05,110.04536042760049,0.2395572599229226
1e-06,LSMR,861.957026320044,124.4713576770834,120.0,0.0,0.0,0.0002933494350097445,1.7846037033158177e-06,124.1242612732878,0.2395738095425386
1e-06,LSQR,833.6268603939097,82.93509864321271,120.0,0.0,0.0,0.0002763543293580864,7.797723552402024e-06,110.16512073438389,0.23955942161102858
1e-06,PCG,826.3374298445415,76.06329109488844,120.0,0.0,0.0,0.0008060405336855354,2.1743050645779205e-05,936.5936913292546,1.8411805193988076
1e-05,CG,772.4083960016724,0.24980199740038989,120.0,0.0,0.0,0.000275838614403578,1.3946393836421161e-05,110.25219645983415,0.23955384094100787
1e-05,LSMR,773.6590523195919,0.00862960246473673,120.0,0.0,0.0,0.00029256850468707576,1.7623494198484687e-06,123.95577868074943,0.23958626608338948
1e-05,LSQR,775.1232760590501,0.2965565465027426,120.0,0.0,0.0,0.0002755690903303634,8.593132796304546e-06,110.03850195480162,0.23955594019009926
1e-05,PCG,772.9589559733868,0.058237944314264954,120.0,0.0,0.0,0.0008163565556284342,2.4094989888176538e-05,963.0499768001669,1.841189625976526
0.0001,CG,771.7198196290992,0.13921477589593226,120.0,0.0,0.0,0.00027518400715051443,9.81322308608784e-06,115.31722549129258,0.23956076813810312
0.0001,LSMR,773.0246300136205,0.24719632578457607,120.0,0.0,0.0,0.00029156801519137466,1.740613017350981e-06,128.68513548394853,0.23958666675170084
0.0001,LSQR,774.4530479724053,0.040706838540518826,120.0,0.0,0.0,0.00027584990541902946,7.892839666990568e-06,115.83904610826215,0.23956382477116717
0.0001,PCG,772.1721901574638,0.28402415837824274,120.0,0.0,0.0,0.0008060337420597649,2.891561883011411e-05,964.1279189789111,1.8409845082296217
0.001,CG,762.9622872222681,13.397393977156366,120.0,0.0,0.0,0.00027755236505795964,8.993335349190149e-06,172.91403321620118,0.23955706950839348
0.001,LSMR,760.4242776345927,8.81936858002204,120.0,0.0,0.0,0.0002945446847394279,1.764572859762304e-06,186.91293187704332,0.23958201710647375
0.001,LSQR,765.5777522327844,13.025402116105006,120.0,0.0,0.0,0.00027895118519939433,8.97375839921244e-06,174.04057403935246,0.23956657095370656
0.001,PCG,762.6213041620795,13.18138155371252,120.0,0.0,0.0,0.0008106506562828718,2.8594703558578205e-05,1227.055685330367,1.8411013424524207
0.01,CG,753.3821742134169,0.24931903238276426,120.0,0.0,0.0,0.00027572421534830503,1.1272910976005283e-05,728.6908613008045,0.23957205916314744
0.01,LSMR,755.2515942028258,0.3196414768478489,120.0,0.0,0.0,0.0002914725755538411,1.7811796848346353e-06,741.4426380160673,0.23959092860548142
0.01,LSQR,756.3675056365319,0.33782921471632654,120.0,0.0,0.0,0.00028519900262328357,1.7372520313713395e-05,736.4417725906559,0.23963075389239852
0.01,PCG,753.6054440245498,0.44848002001011894,120.0,0.0,0.0,0.0008182197397446596,2.9649393273325225e-05,3766.7501837563686,1.8411681703015383
