Lambda,CG,LSMR,LSQR,PCG,LSQR_vs_CG_Time_Ratio,LSQR_vs_PCG_Time_Ratio,LSQR_vs_LSMR_Time_Ratio,LSQR_vs_CG_Iteration_Ratio,LSQR_vs_PCG_Iteration_Ratio,LSQR_vs_LSMR_Iteration_Ratio
1e-06,902.7152201831341,861.957026320044,833.6268603939097,826.3374298445415,1.082876839832846,0.9912557633448569,1.0339842287624315,1.0,1.0,1.0
1e-05,772.4083960016724,773.6590523195919,775.1232760590501,772.9589559733868,0.996497486088689,0.9972077730697659,0.9981109795245696,1.0,1.0,1.0
0.0001,771.7198196290992,773.0246300136205,774.4530479724053,772.1721901574638,0.9964707630107958,0.9970548791551495,0.9981555783626592,1.0,1.0,1.0
0.001,762.9622872222681,760.4242776345927,765.5777522327844,762.6213041620795,0.9965836716089406,0.9961382784934874,0.9932685157279431,1.0,1.0,1.0
0.01,753.3821742134169,755.2515942028258,756.3675056365319,753.6054440245498,0.9960530675883509,0.9963482545305041,0.998524643872998,1.0,1.0,1.0
