Sparsity,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
0.9,CG,3.506024525081739,0.023488317417647973,181.2,19.30416873129751,0.8235219273871899
0.9,LSMR,3.2459947101771833,0.016378613762409955,167.3,19.30416874934479,0.8235219280030319
0.9,LSQR,3.621035048831254,0.13657000711380188,178.2,19.304168731543875,0.8235219274120888
0.95,CG,1.460930794896558,0.025241378912757458,143.2,21.930194069776363,0.8305390081040553
0.95,LSMR,1.3286671498324722,0.0035313244370937654,131.9,21.930194077506577,0.8305390100752797
0.95,LSQR,1.4158112751320004,0.01621368478085603,139.0,21.930194068958084,0.8305390082295329
0.98,CG,0.41130334408953784,0.0030833880750297383,101.7,24.45038910513255,0.8461752276761519
0.98,LSMR,0.3732569787185639,0.002012340295216167,93.4,24.450389107617156,0.8461752316072115
0.98,LSQR,0.3996418330818414,0.01838389375727457,97.3,24.45038910589987,0.8461752281303546
0.99,CG,0.16278987401165065,0.00268084049516595,78.3,25.525679349902852,0.8612281150447766
0.99,LSMR,0.14271788448095316,0.002300963880294559,71.9,25.525679350640562,0.8612281199192197
0.99,LSQR,0.15345055954530834,0.0022306658999605654,74.4,25.525679350097707,0.86122811584891
0.999,CG,0.01835784739814694,0.0008692664903824322,36.6,24.70635837881438,0.9279682713416273
0.999,LSMR,0.014132426353171421,0.0003926575063584912,33.6,24.706358378768847,0.9279682743078921
0.999,LSQR,0.01656351718120274,0.00043625856973808405,33.6,24.706358378714857,0.9279682729543358
