m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
5000,15000,1000,0.95,block,exponential,1.0,LSQR,1.5351141950581222,0.07327375418899747,170.5,22.34410087934244,0.8342989142361826
5000,15000,1000,0.95,random,clustered,1.0,CG,1.1823124077171088,0.006216829420603617,117.4,10.069895425799201,0.8158462415025911
5000,15000,1000,0.95,random,clustered,1.0,LSMR,1.176943100336939,0.012360740192677971,115.2,10.069895429359738,0.8158462415353032
5000,15000,1000,0.95,random,clustered,1.0,LSQR,1.2498970649670809,0.015588508857004241,120.6,10.069895425687557,0.8158462414945944
5000,15000,1000,0.95,random,exponential,0.0,CG,3.317690250603482,0.2858254317513733,321.0,2.287546401023912e-05,0.8148500427911614
5000,15000,1000,0.95,random,exponential,0.0,LSMR,2.853009003587067,0.020300953263592367,283.2,0.00017274576676115002,0.8148500438662909
5000,15000,1000,0.95,random,exponential,0.0,LSQR,2.80073826238513,0.023444788008415176,276.3,0.00016971548341667,0.8148500434835549
5000,15000,1000,0.95,random,exponential,1e-08,CG,3.2318437366280706,0.031052620970761526,320.9,2.301412124288581e-05,0.814850042777666
5000,15000,1000,0.95,random,exponential,1e-08,LSMR,4.76279308530502,0.051052484346232385,472.9,4.4867952030043467e-07,0.8148500426028557
5000,15000,1000,0.95,random,exponential,1e-08,LSQR,5.044028839282691,0.034045728395710635,499.6,4.474348364539539e-07,0.8148500426030282
5000,15000,1000,0.95,random,exponential,1e-06,CG,3.2414276238530872,0.0343277016696562,320.9,5.0296415501090986e-05,0.8148500409510765
5000,15000,1000,0.95,random,exponential,1e-06,LSMR,4.247391807660461,0.023974874702489834,423.3,4.473839099955154e-05,0.8148500407843671
5000,15000,1000,0.95,random,exponential,1e-06,LSQR,4.5484344941098245,0.028606031880588814,449.8,4.4737314763569134e-05,0.814850040783907
5000,15000,1000,0.95,random,exponential,0.0001,CG,3.2420964205171914,0.023307684899907623,320.9,0.00447296474224993,0.8148498606418955
5000,15000,1000,0.95,random,exponential,0.0001,LSMR,3.7502693846356125,0.022640230369004203,373.5,0.00447290644238379,0.8148498604948935
5000,15000,1000,0.95,random,exponential,0.0001,LSQR,4.02975916005671,0.025499787909941587,400.2,0.00447290539882632,0.8148498604741979
5000,15000,1000,0.95,random,exponential,0.01,CG,3.1757305997423826,0.028956795657499382,313.6,0.43933735282523684,0.814846603530681
5000,15000,1000,0.95,random,exponential,0.01,LSMR,3.19084711316973,0.02055951281411581,317.0,0.4393373564436504,0.8148466036067854
