Sparsity Pattern,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
banded,CG,2.2122598520014436,0.011119957207128968,243.5,19.273124467401367,0.9044105300666849
banded,LSMR,1.9989780590403825,0.010965280723275198,218.9,19.273124496057854,0.9044106273643943
banded,LSQR,2.107608780497685,0.027218278040641974,236.3,19.273124466848227,0.9044105362929085
block,CG,1.626237856829539,0.0802127102040592,177.9,22.344100879999303,0.8342989138283331
block,LSMR,1.466819137474522,0.06521542853602538,160.2,22.344100894145754,0.8342989202343019
block,LSQR,1.5351141950581222,0.07327375418899747,170.5,22.34410087934244,0.8342989142361826
random,CG,1.56170510686934,0.10686016041200737,143.2,21.930194069776363,0.8305390081040553
random,LSMR,1.5216305758804083,0.08929296648707294,131.9,21.930194077506577,0.8305390100752797
random,LSQR,1.4176520774606616,0.02058589683523807,139.0,21.930194068958084,0.8305390082295329
