n,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
15000,CG,1.446332668699324,0.014813312709621095,143.2,21.930194069776363,0.8305390081040553
15000,LSMR,1.3624674181453884,0.05732223306348019,131.9,21.930194077506577,0.8305390100752797
15000,LSQR,1.4429198374506087,0.09940331347511992,139.0,21.930194068958084,0.8305390082295329
20000,CG,1.648070454224944,0.011082172840731996,123.9,18.337287721633277,0.8683396204601781
20000,LSMR,1.55906170187518,0.01855246451589738,116.0,18.337287726254026,0.8683396204787511
20000,LSQR,1.6290194478351623,0.01299962298008372,121.7,18.337287721604362,0.8683396204594918
40000,CG,1.6442524829879404,0.005952715503733769,62.1,9.246028169693002,0.9352512577099968
40000,LSMR,1.69107588166371,0.031266762281246696,62.0,9.246028169919958,0.9352512577102651
40000,LSQR,1.71319486964494,0.014871910336451775,63.7,9.246028169677013,0.9352512577101535
