Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Std_Iterations,Mean_Residual,Mean_Relative_Residual,Std_Relative_Residual,Mean_Normal_Residual,Mean_Relative_Normal_Residual,Mean_Objective
1e-06,LSMR,26.382534762844443,0.10263132158832174,5000.0,0.0,0.0153806491973425,0.0002307034299487,0.0,3.6194751781191945e-05,1.969658244713899e-07,0.0038357892204733
1e-06,LSQR,27.432225099454325,0.34978295362149087,5000.0,0.0,0.012386590587128201,0.0001857937787382,0.0,0.0011797272832681,6.419879832441804e-06,0.0037792938740173003
1e-06,PCG,24.023354806161176,0.20067320586315993,5000.0,0.0,0.0191750003754245,0.0002876171414561,0.0,0.0016157466463754,8.7926247502432e-06,0.0042230286222354
1e-05,LSMR,26.604882978834212,0.03975180075388726,5000.0,0.0,0.022165531974635704,0.0003324738889481,0.0,1.7121783538602582e-05,9.317390077679575e-08,0.0360660464121801
1e-05,LSQR,27.4534202820311,0.12676013300505437,5000.0,0.0,0.0212797451589252,0.000319187449997,0.0,0.0004312257725531,2.346658994589033e-06,0.0360604127170066
1e-05,PCG,24.237955097729962,0.3287136207094189,5000.0,0.0,0.0243614257257487,0.0003654113946206,0.0,0.0008774823159792,4.7751129465051395e-06,0.0361820960424997
0.0001,LSMR,18.878367346711457,0.23412857592152125,3537.0,0.0,0.060690013231858,0.0009103253078968,0.0,2.777065989979945e-06,1.5112331634004736e-08,0.35122598134173905
0.0001,LSQR,26.080850063978385,0.4049949651763082,4737.0,0.0,0.0606831795142484,0.0009102228049354,0.0,3.131667854545641e-06,1.704201605442859e-08,0.3512259494695958
0.0001,PCG,24.858782779580604,0.5462098240031291,5000.0,0.0,0.0606870957375694,0.000910281546679,0.0,0.0001948960251106,1.0605917814875568e-06,0.3512289131721222
0.001,LSMR,7.34761747221152,0.08869790190708389,1370.0,0.0,0.1813002511481073,0.0027194294111892,0.0,5.385563397805388e-06,2.9307341056083502e-08,3.4325044025728473
0.001,LSQR,9.143149979102114,0.09299972141782413,1666.0,0.0,0.1812989499899996,0.0027194098943512,0.0,5.761806111829164e-06,3.13547913830548e-08,3.432504388224952
0.001,PCG,14.792025944528481,0.33854714184612383,3007.0,0.0,0.1812991114247617,0.0027194123158064006,0.0,1.814717952681148e-06,9.875393534777934e-09,3.4325043881080943
0.01,LSMR,2.9418638626423976,0.0866596057337005,533.0,0.0,0.8196133620516132,0.0122938642856376,0.0,1.0419900860233168e-05,5.67033689373842e-08,33.3690466872041
0.01,LSQR,3.4014696795493364,0.15922380866029434,606.0,0.0,0.8196132094424485,0.012293861996562702,0.0,1.0156132116166406e-05,5.526798326437375e-08,33.36904668218667
0.01,PCG,4.1647794847376645,0.18732924643991358,835.0,0.0,0.8196132463929536,0.0122938625508051,0.0,1.8105094065817804e-06,9.85249132626718e-09,33.36904668208161
0.1,LSMR,1.1514842997615535,0.006941210836157667,206.0,0.0,6.1633655487365075,0.0924479554716794,0.0,1.8167425314292517e-05,9.88641095588744e-08,291.5890014626514
0.1,LSQR,1.2729139304719865,0.006104508013934025,222.0,0.0,6.163365540330926,0.09244795534559909,0.0,1.827525523763437e-05,9.945090208288753e-08,291.5890014612198
0.1,PCG,1.095225074638923,0.006768909658691127,210.0,0.0,6.163365539903321,0.0924479553391852,0.0,1.6618934543904266e-06,9.043748010939861e-09,291.58900146110284
1.0,LSMR,0.45830808331569034,0.0021279901951097567,78.0,0.0,26.831431793297767,0.40246047261900636,0.0,2.4273904842644414e-05,1.320945563979793e-07,1478.554460659497
1.0,LSQR,0.4908939680705468,0.0022036168881307454,82.0,0.0,26.831431793170697,0.40246047261710033,0.0,2.1702731480800952e-05,1.181026582317503e-07,1478.5544606592591
1.0,PCG,0.33796211347604793,0.004752519123352909,59.0,0.0,26.831431800586774,0.4024604727283385,0.0,1.138613796949558e-06,6.196147071996412e-09,1478.5544606592114
