m,Solver,Mean_Time,Std_Time,Mean_Iterations,Std_Iterations,Mean_Residual,Std_Residual,Mean_Relative_Error,Std_Relative_Error
20000,CG,2.817953337309882,0.028939168420182335,235.7,0.8232726023485654,19.580002539773375,0.15651755976843804,0.657899051570571,0.006443073065682184
20000,Direct,17.67577420596499,0.03877461668836073,1.0,0.0,19.58000253966494,0.15651755934898848,0.6578989899051593,0.006443072459301066
20000,LSMR,3.9687648095423356,1.3074065475841754,215.2,0.7888106377466165,19.580002567987187,0.15651756021675764,0.6578994735831039,0.0064430676537478564
20000,LSQR,2.8162735761143267,0.04157123538551524,231.8,1.032795558988645,19.580002540406745,0.15651755893989247,0.6578990693713451,0.0064430721137278876
25000,CG,3.8372157181147486,0.019783677109701404,258.3,1.059349905471384,19.809307503426506,0.1335095012703574,0.644324333378124,0.0069230703455946735
25000,Direct,19.20742153930478,0.3718974510839105,1.0,0.0,19.80930750267221,0.13350950121942343,0.6443242571302374,0.006923069112644106
25000,LSMR,4.713940043281764,1.6253004011578656,235.8,0.42163702135578546,19.80930754130174,0.13350950156037522,0.6443248468881724,0.0069230598708158045
25000,LSQR,3.833626705594361,0.02686439877712131,255.1,0.9944289260117497,19.80930750366891,0.13350950037047773,0.6443243487300039,0.0069230670203988594
30000,CG,4.949394436087459,0.02157601879497016,279.5,1.0801234497346435,20.05464008128953,0.13058541991648567,0.6332152211733832,0.006692591312053148
30000,Direct,20.58079688928556,1.415995911864191,1.0,0.0,20.054640080553334,0.13058542054966651,0.6332151348992274,0.006692589249021391
30000,LSMR,4.8902490307111295,0.5487978620582197,254.3,1.1595018087284077,20.054640130699987,0.13058542119560923,0.6332158313882369,0.006692578829512222
30000,LSQR,4.973288100818172,0.02808729770333275,276.4,0.9660917830792792,20.054640079560677,0.13058542012878374,0.6332152366961576,0.006692588151898826
