m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Std_Iterations,Mean_Residual,Std_Residual,Mean_Relative_Error,Std_Relative_Error
20000,5000,1000,0.9,random,exponential,1.0,CG,7.8706172881647944,0.05823346994445253,319.8,1.98885785202351,20.273540053663858,0.12602651367825157,0.6205796102227114,0.007155205406951956
20000,5000,1000,0.9,random,exponential,1.0,Direct,29.500194569583982,0.6351881259512742,1.0,0.0,20.273540052867673,0.12602651566315828,0.6205795088516064,0.007155204094466335
20000,5000,1000,0.9,random,exponential,1.0,LSMR,7.22669051620178,0.06756372146155908,290.4,1.0749676997731379,20.273540128772975,0.12602651596630746,0.6205803541077077,0.007155179818057303
20000,5000,1000,0.9,random,exponential,1.0,LSQR,8.02094570263289,0.5622970879090448,317.0,1.6329931618554527,20.273540053350807,0.12602651419002317,0.6205796250492491,0.007155200015287115
20000,5000,1000,0.95,banded,exponential,1.0,CG,2.942729623476043,0.04017713055509501,266.1,1.2866839377079182,19.739334249267607,0.18446491991966724,0.6572530188703607,0.006593681369491826
20000,5000,1000,0.95,banded,exponential,1.0,Direct,5.144922691769898,0.010821280340395761,1.0,0.0,19.739334248704544,0.18446491847187066,0.6572529581530546,0.006593681493946783
20000,5000,1000,0.95,banded,exponential,1.0,LSMR,2.671210269629955,0.014085356265588454,239.4,0.6992058987800981,19.73933428770486,0.184464918721845,0.657253549174108,0.006593673977195488
20000,5000,1000,0.95,banded,exponential,1.0,LSQR,2.898423994425684,0.019640592355924986,259.1,1.1972189997378608,19.73933425035053,0.1844649187224758,0.6572530492026145,0.006593680388986261
20000,5000,1000,0.95,block,exponential,1.0,CG,2.861091221310198,0.10628642676757491,257.1,9.492101980067426,19.576566800696895,0.16321497557811634,0.660091184920797,0.0072637484370029395
20000,5000,1000,0.95,block,exponential,1.0,Direct,14.482333637494595,0.15335614340819784,1.0,0.0,19.576566800341414,0.1632149761045238,0.6600911237754474,0.0072637479904402715
20000,5000,1000,0.95,block,exponential,1.0,LSMR,2.6055361844599245,0.07943136415882966,232.3,7.288499312082166,19.576566836640644,0.16321497724811881,0.6600916789110647,0.007263720984861944
20000,5000,1000,0.95,block,exponential,1.0,LSQR,2.8277152326889334,0.0999717971011009,251.3,8.273787255879594,19.576566801167694,0.1632149746840963,0.6600912106708751,0.007263743747868259
20000,5000,1000,0.95,random,clustered,1.0,CG,2.500182663695887,0.010658126902187643,210.9,1.1972189997378615,16.590459536915542,0.21428779938129427,0.5972428340693606,0.008424919877247607
20000,5000,1000,0.95,random,clustered,1.0,Direct,17.644257051916792,0.06813996808465873,1.0,0.0,16.590459535013878,0.2142878003836718,0.5972426907415477,0.008424916432893736
20000,5000,1000,0.95,random,clustered,1.0,LSMR,2.5236954671097918,0.018275219768823653,206.3,0.48304589153964894,16.590459586946743,0.2142878006893099,0.5972430605848638,0.008424921235614728
20000,5000,1000,0.95,random,clustered,1.0,LSQR,2.7378435701131822,0.027552183804682117,221.3,1.5670212364724205,16.590459536627435,0.21428779972815482,0.5972427656218384,0.008424917557387172
20000,5000,1000,0.95,random,exponential,0.0,CG,59.37587121706456,0.23869109636151975,5000.0,0.0,5.249387643661935,0.11641646826638569,0.41404957918215163,0.01305272913750147
20000,5000,1000,0.95,random,exponential,0.0,Direct,17.709166366932912,0.1741136643928743,1.0,0.0,5.249387559959227,0.11641646673566387,0.4140560075157868,0.013047259853629799
20000,5000,1000,0.95,random,exponential,0.0,LSMR,55.961740114726126,0.6281195254605488,4663.4,32.19799855753634,5.2493880567953815,0.11641647906512982,0.414012251742097,0.013067592637607676
20000,5000,1000,0.95,random,exponential,0.0,LSQR,60.07066843304783,0.39129446121727884,5000.0,0.0,5.249387643677221,0.11641646828262596,0.4140495827776288,0.013052729687540359
20000,5000,1000,0.95,random,exponential,1e-08,CG,59.241384861106056,0.14630871180513574,5000.0,0.0,5.249387643775943,0.11641646832510366,0.41404675041786876,0.013052586468004087
20000,5000,1000,0.95,random,exponential,1e-08,Direct,17.510801598150284,0.059547736748290975,1.0,0.0,5.249387559969326,0.11641646673587022,0.41405317629209504,0.01304711743106352
20000,5000,1000,0.95,random,exponential,1e-08,LSMR,56.07136705338489,0.4792307866656788,4663.3,32.01405941145246,5.24938805711574,0.1164164790069504,0.41400941530197366,0.01306744369997781
20000,5000,1000,0.95,random,exponential,1e-08,LSQR,60.13383569787256,0.18025395600330213,5000.0,0.0,5.249387643687319,0.11641646828282759,0.4140467520440856,0.013052586948482745
20000,5000,1000,0.95,random,exponential,1e-06,CG,59.32249901099131,0.26738653656739275,5000.0,0.0,5.249387744553691,0.1164164703526054,0.4137668817427384,0.013038474248777092
20000,5000,1000,0.95,random,exponential,1e-06,Direct,17.495291832648217,0.05437258362099767,1.0,0.0,5.249387660775032,0.11641646879188965,0.4137732630329749,0.013033038179310525
20000,5000,1000,0.95,random,exponential,1e-06,LSMR,55.982651535631156,0.4771646089989336,4660.9,32.367507713068676,5.249388177005665,0.11641648147547705,0.41372968763862855,0.013053311601187846
20000,5000,1000,0.95,random,exponential,1e-06,LSQR,60.04983594077639,0.24463327135328702,5000.0,0.0,5.24938774448708,0.1164164703383607,0.41376688708096065,0.01303847646309734
20000,5000,1000,0.95,random,exponential,0.0001,CG,59.268702156329525,0.3055713458604182,5000.0,0.0,5.250251905883325,0.1164337451952034,0.3891536064819219,0.011806819516744026
20000,5000,1000,0.95,random,exponential,0.0001,Direct,17.421997137879952,0.06319483300981833,1.0,0.0,5.2502518490665935,0.11643374395401793,0.3891567945320153,0.011803701599707924
20000,5000,1000,0.95,random,exponential,0.0001,LSMR,53.69381398048718,0.5552880240599508,4415.2,27.959494511405836,5.250253805877459,0.11643377366358212,0.38912625804084694,0.011820559761738993
20000,5000,1000,0.95,random,exponential,0.0001,LSQR,60.8226034078747,0.35238586952755757,5000.0,0.0,5.250251905867998,0.11643374515113548,0.38915360848663055,0.011806817251342224
20000,5000,1000,0.95,random,exponential,0.01,CG,20.792217334872113,0.07850354795863554,1753.2,5.808040403899868,5.645773253243695,0.11938398745066241,0.36757643737968976,0.007190165786853984
20000,5000,1000,0.95,random,exponential,0.01,Direct,17.473769803252072,0.07222184532427617,1.0,0.0,5.645773246544613,0.11938398742724513,0.3675763449155756,0.007190137214859673
20000,5000,1000,0.95,random,exponential,0.01,LSMR,18.385520581691527,0.13088532443891734,1526.0,5.676462121975465,5.6457742521681595,0.11938399799317534,0.36758021106520666,0.0071905104047219085
20000,5000,1000,0.95,random,exponential,0.01,LSQR,22.02303413050249,0.19179522019470152,1830.3,8.641630504585212,5.645773248997083,0.11938398751958712,0.36757639131890046,0.007190150160280431
20000,5000,1000,0.95,random,exponential,0.1,CG,7.755318624712527,0.05521118817271663,653.1,2.4244128727957555,8.02867665185037,0.13692096754179633,0.5250279283366251,0.0065952785548081694
20000,5000,1000,0.95,random,exponential,0.1,Direct,17.477964065782725,0.04331551489214753,1.0,0.0,8.028676650214356,0.13692096734314255,0.5250276924425403,0.006595277564709999
20000,5000,1000,0.95,random,exponential,0.1,LSMR,7.0650495504494755,0.03186393276368312,585.4,2.0655911179773034,8.028676857362914,0.13692096827548428,0.5250302723710907,0.006595235662633736
20000,5000,1000,0.95,random,exponential,0.1,LSQR,7.9735185474157335,0.04020238612825755,662.6,3.2041639575194334,8.028676651325588,0.13692096743182705,0.5250278822356143,0.006595273045725883
20000,5000,1000,0.95,random,exponential,1.0,CG,2.807075946945697,0.02114127685495566,235.7,0.7889543583705187,19.580002539773375,0.14999310142054798,0.657899051570571,0.006174492582369999
20000,5000,1000,0.95,random,exponential,1.0,Direct,17.755276553058067,0.3268017214613512,1.0,0.0,19.58000253966494,0.1499931010185845,0.6578989899051593,0.006174492001265985
20000,5000,1000,0.95,random,exponential,1.0,LSMR,2.8922716461960225,0.780977884180658,215.2,0.7559289460184548,19.580002567987187,0.14999310185017997,0.6578994735831039,0.006174487396032971
20000,5000,1000,0.95,random,exponential,1.0,LSQR,2.8246473600901663,0.03005219630713949,231.8,0.9897433186107879,19.580002540406742,0.1499931006265408,0.657899069371345,0.006174491670098069
20000,5000,1000,0.95,random,linear,1.0,CG,2.831133598880842,0.016286434207946524,239.1,0.9944289260117513,16.19989634928259,0.2042790985988109,0.16869717071291776,0.007392638794159048
20000,5000,1000,0.95,random,linear,1.0,Direct,17.611680791410617,0.019368835648913042,1.0,0.0,16.19989634815047,0.2042790975985616,0.16869707322551514,0.007392638484114878
20000,5000,1000,0.95,random,linear,1.0,LSMR,3.3519941457314415,1.0646255967111777,222.5,0.7071067811865505,16.199896416481273,0.2042790971671309,0.16869765787074326,0.0073926562176270675
20000,5000,1000,0.95,random,linear,1.0,LSQR,3.0717576747760176,0.32476547182191084,242.4,0.9660917830792927,16.199896348706293,0.2042790962821037,0.1686971526301591,0.007392639844597012
20000,5000,1000,0.95,random,polynomial,1.0,CG,2.8387924084905536,0.011815423861015735,240.0,0.9428090415820629,18.28862803158927,0.28969306912270715,0.392325544111222,0.006934098083837673
20000,5000,1000,0.95,random,polynomial,1.0,Direct,17.658097843616268,0.06661710139347476,1.0,0.0,18.288628031450223,0.28969306884457796,0.39232545482064907,0.006934097385123103
20000,5000,1000,0.95,random,polynomial,1.0,LSMR,2.9803439813898875,0.8550574568464842,221.8,0.6324555320336771,18.28862808343978,0.2896930698257441,0.39232603126389876,0.006934108576367015
20000,5000,1000,0.95,random,polynomial,1.0,LSQR,2.943251803005114,0.016384891936593975,240.1,0.8755950357709127,18.288628032091047,0.28969306957881186,0.39232554364308675,0.006934098931067045
20000,5000,1000,0.98,random,exponential,1.0,CG,0.7403789145406335,0.008079847076611335,159.0,0.8164965809277246,19.196419761090365,0.24747342289694815,0.7046117311311814,0.005743123697964597
20000,5000,1000,0.98,random,exponential,1.0,Direct,14.647275255247951,0.1070634064177941,1.0,0.0,19.196419761709087,0.24747342317047014,0.7046117013254987,0.005743123762883122
20000,5000,1000,0.98,random,exponential,1.0,LSMR,0.7227656064322219,0.013079309557666906,145.7,0.6749485577105524,19.196419769308868,0.2474734234661957,0.7046119273561622,0.005743121810498293
20000,5000,1000,0.98,random,exponential,1.0,LSQR,0.76048134714365,0.011646047895829119,154.2,0.9189365834726831,19.19641976308261,0.24747342388024246,0.7046117489258469,0.005743125716471161
20000,5000,1000,0.99,random,exponential,1.0,CG,0.28206253130920234,0.002812523122747944,118.5,0.9718253158075483,19.0403783961451,0.28088753152371476,0.7392756732337555,0.005167647813496979
20000,5000,1000,0.99,random,exponential,1.0,Direct,13.559412209270523,0.05517895551535456,1.0,0.0,19.040378396790953,0.28088753083405654,0.7392756563260191,0.005167647372510377
20000,5000,1000,0.99,random,exponential,1.0,LSMR,0.27291786142159247,0.003516603878915694,108.9,1.1005049346146114,19.040378399601433,0.28088753032033087,0.7392757801933477,0.005167650265710628
20000,5000,1000,0.99,random,exponential,1.0,LSQR,0.2914368582889437,0.004841715081563257,114.2,1.2292725943057181,19.040378396542145,0.2808875321301322,0.7392756870038779,0.005167646420238297
20000,5000,1000,0.999,random,exponential,1.0,CG,0.03283786121755834,0.0005824786011423751,48.7,0.8232726023485653,18.46455486213925,0.21804282674332584,0.8467090423604191,0.003529906228304163
20000,5000,1000,0.999,random,exponential,1.0,Direct,13.648379267472773,0.34521088006807,1.0,0.0,18.46455486206409,0.21804282674422895,0.8467090401539163,0.0035299064145704255
20000,5000,1000,0.999,random,exponential,1.0,LSMR,0.03560738619416945,0.0006895943481684876,44.8,0.9189365834726807,18.464554862007425,0.2180428267307134,0.846709056314783,0.0035299061721084973
20000,5000,1000,0.999,random,exponential,1.0,LSQR,0.03757038339972491,0.001142023710051064,45.4,0.6992058987801009,18.46455486227245,0.21804282663522687,0.8467090474980064,0.003529906087251756
25000,5000,1000,0.95,random,exponential,1.0,CG,3.8372157181147486,0.019783677109701404,258.3,1.059349905471384,19.809307503426506,0.1335095012703574,0.644324333378124,0.0069230703455946735
25000,5000,1000,0.95,random,exponential,1.0,Direct,19.20742153930478,0.3718974510839105,1.0,0.0,19.80930750267221,0.13350950121942343,0.6443242571302374,0.006923069112644106
25000,5000,1000,0.95,random,exponential,1.0,LSMR,4.713940043281764,1.6253004011578656,235.8,0.42163702135578546,19.80930754130174,0.13350950156037522,0.6443248468881724,0.0069230598708158045
25000,5000,1000,0.95,random,exponential,1.0,LSQR,3.833626705594361,0.02686439877712131,255.1,0.9944289260117497,19.80930750366891,0.13350950037047773,0.6443243487300039,0.0069230670203988594
30000,5000,1000,0.95,random,exponential,1.0,CG,4.949394436087459,0.02157601879497016,279.5,1.0801234497346435,20.05464008128953,0.13058541991648567,0.6332152211733832,0.006692591312053148
30000,5000,1000,0.95,random,exponential,1.0,Direct,20.58079688928556,1.415995911864191,1.0,0.0,20.054640080553334,0.13058542054966651,0.6332151348992274,0.006692589249021391
30000,5000,1000,0.95,random,exponential,1.0,LSMR,4.8902490307111295,0.5487978620582197,254.3,1.1595018087284077,20.054640130699987,0.13058542119560923,0.6332158313882369,0.006692578829512222
30000,5000,1000,0.95,random,exponential,1.0,LSQR,4.973288100818172,0.02808729770333275,276.4,0.9660917830792792,20.054640079560677,0.13058542012878374,0.6332152366961576,0.006692588151898826
51000,5000,10,0.95,random,exponential,1.0,CG,2.8698119919514284,0.016309088365054545,95.5,0.5270462766947304,17.188339718043274,0.24458944859330117,0.015906807356451818,0.00038007432404588436
51000,5000,10,0.95,random,exponential,1.0,Direct,27.57988802860491,0.9562786181081996,1.0,0.0,17.188339717980174,0.24458944859193776,0.0159068073603548,0.0003800736808402775
51000,5000,10,0.95,random,exponential,1.0,LSMR,2.9698759051971138,0.07325607785858088,96.5,0.5270462766947304,17.188339718304768,0.24458944859708387,0.015906807159181628,0.00038007439112392523
51000,5000,10,0.95,random,exponential,1.0,LSQR,3.045843264181167,0.014991785494718957,100.0,0.47140452079103656,17.188339717995397,0.24458944859395396,0.01590680744587556,0.00038007396590192293
51000,5000,100,0.95,random,exponential,1.0,CG,9.933003294561058,0.03663926167969401,332.1,1.449137674618941,23.645162153712448,0.3194777754628548,0.30562791241459897,0.005446112548903625
51000,5000,100,0.95,random,exponential,1.0,Direct,29.083872151980177,1.1983614458354688,1.0,0.0,23.64516215255423,0.3194777768841708,0.3056279056704504,0.00544611132883804
51000,5000,100,0.95,random,exponential,1.0,LSMR,9.169801297737285,0.042806337501257195,303.9,1.2866839377079216,23.645162248753476,0.31947777652090564,0.3056280303956999,0.005446115659597382
51000,5000,100,0.95,random,exponential,1.0,LSQR,10.06724559077993,0.076999746524166,331.8,1.2292725943057161,23.645162153948043,0.319477777293049,0.3056279125548681,0.005446112571297898
51000,5000,1000,0.95,random,exponential,1.0,CG,10.460740378079937,0.043632217739159804,350.2,1.135292424395096,20.9963009907539,0.16119379914237467,0.6005299291522365,0.00695657429006011
