Condition Parameter,Solver,Mean_Time,Std_Time,Mean_Iterations,Std_Iterations,Mean_Residual,Std_Residual,Mean_Relative_Error,Std_Relative_Error
10,CG,2.8698119919514284,0.016309088365054545,95.5,0.5270462766947304,17.188339718043274,0.24458944859330117,0.015906807356451818,0.00038007432404588436
10,Direct,27.57988802860491,0.9562786181081996,1.0,0.0,17.188339717980174,0.24458944859193776,0.0159068073603548,0.0003800736808402775
10,LSMR,2.9698759051971138,0.07325607785858088,96.5,0.5270462766947304,17.188339718304768,0.24458944859708387,0.015906807159181628,0.00038007439112392523
10,LSQR,3.045843264181167,0.014991785494718957,100.0,0.47140452079103656,17.188339717995397,0.24458944859395396,0.01590680744587556,0.00038007396590192293
100,CG,9.933003294561058,0.03663926167969401,332.1,1.449137674618941,23.645162153712448,0.3194777754628548,0.30562791241459897,0.005446112548903625
100,Direct,29.083872151980177,1.1983614458354688,1.0,0.0,23.64516215255423,0.3194777768841708,0.3056279056704504,0.00544611132883804
100,LSMR,9.169801297737285,0.042806337501257195,303.9,1.2866839377079216,23.645162248753476,0.31947777652090564,0.3056280303956999,0.005446115659597382
100,LSQR,10.06724559077993,0.076999746524166,331.8,1.2292725943057161,23.645162153948043,0.319477777293049,0.3056279125548681,0.005446112571297898
1000,CG,10.460740378079937,0.043632217739159804,350.2,1.135292424395096,20.9963009907539,0.16119379914237467,0.6005299291522365,0.00695657429006011
1000,Direct,29.80779447266832,0.323324018848422,1.0,0.0,20.996300989973886,0.16119379936707626,0.6005297966225405,0.00695657446772577
1000,LSMR,9.58499524258077,0.03171365388132604,317.8,1.1352924243950908,20.99630109030517,0.16119379966531774,0.600530897234776,0.006956559945781489
1000,LSQR,10.591640875022858,0.0911559953326751,348.8,1.3984117975602033,20.99630099010922,0.16119379833209077,0.6005299374359091,0.006956572454537048
10000,CG,10.342084685363806,0.03715197669825293,346.3,1.9465068427541925,18.404002404274603,0.20981804360707204,0.7177096400289509,0.005781134370894833
10000,Direct,27.13264003144577,1.305316254213595,1.0,0.0,18.404002404544883,0.20981804489560243,0.7177095442682552,0.0057811320188595
10000,LSMR,9.481706303125247,0.03877311510803474,314.6,1.2649110640673518,18.404002489647162,0.209818044618738,0.7177102838923706,0.005781129957898724
10000,LSQR,10.451424030773342,0.06715935205726938,345.0,1.6329931618554512,18.404002403456825,0.2098180436251774,0.7177096452522884,0.00578113194518995
20000,CG,10.31961935670115,0.03498598648848863,345.0,1.2472191289246513,17.793779855956966,0.25759142657139794,0.7404291887157345,0.005431258188133421
20000,Direct,28.70114182815887,1.2492781430230249,1.0,0.0,17.793779855263747,0.25759142537662666,0.7404291016752519,0.005431258564605859
20000,LSMR,9.47441436755471,0.03552070347669883,314.1,1.2866839377079147,17.79377993555777,0.2575914259125401,0.740429768625906,0.005431244444550214
20000,LSQR,10.43783603827469,0.13372025324290612,344.4,1.8378731669453645,17.79377985533727,0.25759142454816975,0.7404291906611792,0.005431257954736304
