Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Std_Iterations,Mean_Residual,Std_Residual,Mean_Relative_Error,Std_Relative_Error
0.0,CG,59.37587121706456,0.23869109636151975,5000.0,0.0,5.249387643661935,0.11641646826638569,0.41404957918215163,0.01305272913750147
0.0,Direct,17.709166366932912,0.1741136643928743,1.0,0.0,5.249387559959227,0.11641646673566387,0.4140560075157868,0.013047259853629799
0.0,LSMR,55.961740114726126,0.6281195254605488,4663.4,32.19799855753634,5.2493880567953815,0.11641647906512982,0.414012251742097,0.013067592637607676
0.0,LSQR,60.07066843304783,0.39129446121727884,5000.0,0.0,5.249387643677221,0.11641646828262596,0.4140495827776288,0.013052729687540359
1e-08,CG,59.241384861106056,0.14630871180513574,5000.0,0.0,5.249387643775943,0.11641646832510366,0.41404675041786876,0.013052586468004087
1e-08,Direct,17.510801598150284,0.059547736748290975,1.0,0.0,5.249387559969326,0.11641646673587022,0.41405317629209504,0.01304711743106352
1e-08,LSMR,56.07136705338489,0.4792307866656788,4663.3,32.01405941145246,5.24938805711574,0.1164164790069504,0.41400941530197366,0.01306744369997781
1e-08,LSQR,60.13383569787256,0.18025395600330213,5000.0,0.0,5.249387643687319,0.11641646828282759,0.4140467520440856,0.013052586948482745
1e-06,CG,59.32249901099131,0.26738653656739275,5000.0,0.0,5.249387744553691,0.1164164703526054,0.4137668817427384,0.013038474248777092
1e-06,Direct,17.495291832648217,0.05437258362099767,1.0,0.0,5.249387660775032,0.11641646879188965,0.4137732630329749,0.013033038179310525
1e-06,LSMR,55.982651535631156,0.4771646089989336,4660.9,32.367507713068676,5.249388177005665,0.11641648147547705,0.41372968763862855,0.013053311601187846
1e-06,LSQR,60.04983594077639,0.24463327135328702,5000.0,0.0,5.24938774448708,0.1164164703383607,0.41376688708096065,0.01303847646309734
0.0001,CG,59.268702156329525,0.3055713458604182,5000.0,0.0,5.250251905883325,0.1164337451952034,0.3891536064819219,0.011806819516744026
0.0001,Direct,17.421997137879952,0.06319483300981833,1.0,0.0,5.2502518490665935,0.11643374395401793,0.3891567945320153,0.011803701599707924
0.0001,LSMR,53.69381398048718,0.5552880240599508,4415.2,27.959494511405836,5.250253805877459,0.11643377366358212,0.38912625804084694,0.011820559761738993
0.0001,LSQR,60.8226034078747,0.35238586952755757,5000.0,0.0,5.250251905867998,0.11643374515113548,0.38915360848663055,0.011806817251342224
0.01,CG,20.792217334872113,0.07850354795863554,1753.2,5.808040403899868,5.645773253243695,0.11938398745066241,0.36757643737968976,0.007190165786853984
0.01,Direct,17.473769803252072,0.07222184532427617,1.0,0.0,5.645773246544613,0.11938398742724513,0.3675763449155756,0.007190137214859673
0.01,LSMR,18.385520581691527,0.13088532443891734,1526.0,5.676462121975465,5.6457742521681595,0.11938399799317534,0.36758021106520666,0.0071905104047219085
0.01,LSQR,22.02303413050249,0.19179522019470152,1830.3,8.641630504585212,5.645773248997083,0.11938398751958712,0.36757639131890046,0.007190150160280431
0.1,CG,7.755318624712527,0.05521118817271663,653.1,2.4244128727957555,8.02867665185037,0.13692096754179633,0.5250279283366251,0.0065952785548081694
0.1,Direct,17.477964065782725,0.04331551489214753,1.0,0.0,8.028676650214356,0.13692096734314255,0.5250276924425403,0.006595277564709999
0.1,LSMR,7.0650495504494755,0.03186393276368312,585.4,2.0655911179773034,8.028676857362914,0.13692096827548428,0.5250302723710907,0.006595235662633736
0.1,LSQR,7.9735185474157335,0.04020238612825755,662.6,3.2041639575194334,8.028676651325588,0.13692096743182705,0.5250278822356143,0.006595273045725883
1.0,CG,2.804285212373361,0.015552494464143073,235.7,0.8232726023485654,19.580002539773375,0.15651755976843804,0.657899051570571,0.006443073065682184
1.0,Direct,17.46447872617282,0.05952868833507317,1.0,0.0,19.58000253966494,0.15651755934898848,0.6578989899051593,0.006443072459301066
1.0,LSMR,2.629552809149027,0.016525192955722093,215.2,0.7888106377466165,19.580002567987187,0.15651756021675764,0.6578994735831039,0.0064430676537478564
1.0,LSQR,2.825644107302651,0.022366186699370738,231.8,1.032795558988645,19.580002540406745,0.15651755893989247,0.6578990693713451,0.0064430721137278876
