Spectrum,Solver,Mean_Time,Std_Time,Mean_Iterations,Std_Iterations,Mean_Residual,Std_Residual,Mean_Relative_Error,Std_Relative_Error
clustered,CG,2.500182663695887,0.010658126902187643,210.9,1.1972189997378615,16.590459536915542,0.21428779938129427,0.5972428340693606,0.008424919877247607
clustered,Direct,17.644257051916792,0.06813996808465873,1.0,0.0,16.590459535013878,0.2142878003836718,0.5972426907415477,0.008424916432893736
clustered,LSMR,2.5236954671097918,0.018275219768823653,206.3,0.48304589153964894,16.590459586946743,0.2142878006893099,0.5972430605848638,0.008424921235614728
clustered,LSQR,2.7378435701131822,0.027552183804682117,221.3,1.5670212364724205,16.590459536627435,0.21428779972815482,0.5972427656218384,0.008424917557387172
exponential,CG,2.7890015359502285,0.010378723743034602,235.7,0.8232726023485654,19.580002539773375,0.15651755976843804,0.657899051570571,0.006443073065682184
exponential,Direct,17.64916107049212,0.07852212154797601,1.0,0.0,19.58000253966494,0.15651755934898848,0.6578989899051593,0.006443072459301066
exponential,LSMR,2.64228162614163,0.01727733520787795,215.2,0.7888106377466165,19.580002567987187,0.15651756021675764,0.6578994735831039,0.0064430676537478564
exponential,LSQR,2.847473955596797,0.020683989663817147,231.8,1.032795558988645,19.580002540406745,0.15651755893989247,0.6578990693713451,0.0064430721137278876
linear,CG,2.831133598880842,0.016286434207946524,239.1,0.9944289260117513,16.19989634928259,0.2042790985988109,0.16869717071291776,0.007392638794159048
linear,Direct,17.611680791410617,0.019368835648913042,1.0,0.0,16.19989634815047,0.2042790975985616,0.16869707322551514,0.007392638484114878
linear,LSMR,3.3519941457314415,1.0646255967111777,222.5,0.7071067811865505,16.199896416481273,0.2042790971671309,0.16869765787074326,0.0073926562176270675
linear,LSQR,3.0717576747760176,0.32476547182191084,242.4,0.9660917830792927,16.199896348706293,0.2042790962821037,0.1686971526301591,0.007392639844597012
polynomial,CG,2.8387924084905536,0.011815423861015735,240.0,0.9428090415820629,18.28862803158927,0.28969306912270715,0.392325544111222,0.006934098083837673
polynomial,Direct,17.658097843616268,0.06661710139347476,1.0,0.0,18.288628031450223,0.28969306884457796,0.39232545482064907,0.006934097385123103
polynomial,LSMR,2.9803439813898875,0.8550574568464842,221.8,0.6324555320336771,18.28862808343978,0.2896930698257441,0.39232603126389876,0.006934108576367015
polynomial,LSQR,2.943251803005114,0.016384891936593975,240.1,0.8755950357709127,18.288628032091047,0.28969306957881186,0.39232554364308675,0.006934098931067045
