Sparsity,Solver,Mean_Time,Std_Time,Mean_Iterations,Std_Iterations,Mean_Residual,Std_Residual,Mean_Relative_Error,Std_Relative_Error
0.9,CG,7.8706172881647944,0.05823346994445253,319.8,1.98885785202351,20.273540053663858,0.12602651367825157,0.6205796102227114,0.007155205406951956
0.9,Direct,29.500194569583982,0.6351881259512742,1.0,0.0,20.273540052867673,0.12602651566315828,0.6205795088516064,0.007155204094466335
0.9,LSMR,7.22669051620178,0.06756372146155908,290.4,1.0749676997731379,20.273540128772975,0.12602651596630746,0.6205803541077077,0.007155179818057303
0.9,LSQR,8.02094570263289,0.5622970879090448,317.0,1.6329931618554527,20.273540053350807,0.12602651419002317,0.6205796250492491,0.007155200015287115
0.95,CG,2.822240093676373,0.012735273032736746,235.7,0.8232726023485654,19.580002539773375,0.15651755976843804,0.657899051570571,0.006443073065682184
0.95,Direct,17.963181343255563,0.4978363034443964,1.0,0.0,19.58000253966494,0.15651755934898848,0.6578989899051593,0.006443072459301066
0.95,LSMR,2.6127179671544583,0.008296212143113522,215.2,0.7888106377466165,19.580002567987187,0.15651756021675764,0.6578994735831039,0.0064430676537478564
0.95,LSQR,2.822277804883197,0.026855307622972308,231.8,1.032795558988645,19.580002540406745,0.15651755893989247,0.6578990693713451,0.0064430721137278876
0.98,CG,0.7403789145406335,0.008079847076611335,159.0,0.8164965809277246,19.196419761090365,0.24747342289694815,0.7046117311311814,0.005743123697964597
0.98,Direct,14.647275255247951,0.1070634064177941,1.0,0.0,19.196419761709087,0.24747342317047014,0.7046117013254987,0.005743123762883122
0.98,LSMR,0.7227656064322219,0.013079309557666906,145.7,0.6749485577105524,19.196419769308868,0.2474734234661957,0.7046119273561622,0.005743121810498293
0.98,LSQR,0.76048134714365,0.011646047895829119,154.2,0.9189365834726831,19.19641976308261,0.24747342388024246,0.7046117489258469,0.005743125716471161
0.99,CG,0.28206253130920234,0.002812523122747944,118.5,0.9718253158075483,19.0403783961451,0.28088753152371476,0.7392756732337555,0.005167647813496979
0.99,Direct,13.559412209270523,0.05517895551535456,1.0,0.0,19.040378396790953,0.28088753083405654,0.7392756563260191,0.005167647372510377
0.99,LSMR,0.27291786142159247,0.003516603878915694,108.9,1.1005049346146114,19.040378399601433,0.28088753032033087,0.7392757801933477,0.005167650265710628
0.99,LSQR,0.2914368582889437,0.004841715081563257,114.2,1.2292725943057181,19.040378396542145,0.2808875321301322,0.7392756870038779,0.005167646420238297
0.999,CG,0.03283786121755834,0.0005824786011423751,48.7,0.8232726023485653,18.46455486213925,0.21804282674332584,0.8467090423604191,0.003529906228304163
0.999,Direct,13.648379267472773,0.34521088006807,1.0,0.0,18.46455486206409,0.21804282674422895,0.8467090401539163,0.0035299064145704255
0.999,LSMR,0.03560738619416945,0.0006895943481684876,44.8,0.9189365834726807,18.464554862007425,0.2180428267307134,0.846709056314783,0.0035299061721084973
0.999,LSQR,0.03757038339972491,0.001142023710051064,45.4,0.6992058987801009,18.46455486227245,0.21804282663522687,0.8467090474980064,0.003529906087251756
