Solver,Lambda,Lambda Multiplier,Lambda Scale,Time (s),Iterations,Residual,Relative Residual,Normal Equation Residual,Relative Normal Equation Residual,Objective,Info,Converged,Preconditioner,Matrix-Free,Condition Parameter,Dataset,Group,m,n,Nonzeros,Density,RHS Type,Run,RTOL,Max Iterations
LSMR,276.47788316042056,0.01,27647.788316042057,46.74799306690693,918,472.62910402422114,0.0013732855278067743,1.8024188494186864,1.477518007560082e-09,6082400.291213748,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
CG,276.47788316042056,0.01,27647.788316042057,45.47449399298057,900,472.62886662666426,0.0013732848380171986,10.465804398692825,8.579256962196886e-09,6082400.289542208,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
PCG,276.47788316042056,0.01,27647.788316042057,73.2278524376452,1442,472.62823801446063,0.001373283011502423,11.88759780643243,9.744760398672266e-09,6082400.299969373,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSQR,276.47788316042056,0.01,27647.788316042057,54.650409711990505,1067,472.6288299203786,0.0013732847313622965,1.8552496766539273,1.5208256430852762e-09,6082400.285576885,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSMR,276.47788316042056,0.01,27647.788316042057,46.70631799194962,918,472.62910402422114,0.0013732855278067743,1.8024188494186864,1.477518007560082e-09,6082400.291213748,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
CG,2764.778831604206,0.1,27647.788316042057,17.437975343782455,345,1660.9431809494822,0.00482608712304433,11.293026888498147,9.257365785426428e-09,55031282.89307937,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
PCG,2764.778831604206,0.1,27647.788316042057,32.88885562913492,646,1660.9432984160067,0.004826087464358642,11.92642626245265,9.776589705713818e-09,55031282.89597569,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSQR,2764.778831604206,0.1,27647.788316042057,19.577512245159596,381,1660.9431779194758,0.004826087114240251,3.1937545069123154,2.6180539541134e-09,55031282.89204437,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSMR,2764.778831604206,0.1,27647.788316042057,17.67722347518429,346,1660.9432142445153,0.004826087219787392,3.300579766448579,2.7056230808333155e-09,55031282.89390909,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
CG,2764.778831604206,0.1,27647.788316042057,17.4317685412243,345,1660.9431809494822,0.00482608712304433,11.293026888498147,9.257365785426428e-09,55031282.89307937,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
PCG,2764.778831604206,0.1,27647.788316042057,32.86315001780167,646,1660.9432984160067,0.004826087464358642,11.92642626245265,9.776589705713818e-09,55031282.89597569,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSQR,2764.778831604206,0.1,27647.788316042057,19.60435576690361,381,1660.9431779194758,0.004826087114240251,3.1937545069123154,2.6180539541134e-09,55031282.89204437,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSMR,2764.778831604206,0.1,27647.788316042057,17.665983856189996,346,1660.9432142445153,0.004826087219787392,3.300579766448579,2.7056230808333155e-09,55031282.89390909,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
CG,2764.778831604206,0.1,27647.788316042057,17.455073929857463,345,1660.9431809494822,0.00482608712304433,11.293026888498147,9.257365785426428e-09,55031282.89307937,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
PCG,2764.778831604206,0.1,27647.788316042057,32.86708218976855,646,1660.9432984160067,0.004826087464358642,11.92642626245265,9.776589705713818e-09,55031282.89597569,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSQR,2764.778831604206,0.1,27647.788316042057,19.558690512087196,381,1660.9431779194758,0.004826087114240251,3.1937545069123154,2.6180539541134e-09,55031282.89204437,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSMR,2764.778831604206,0.1,27647.788316042057,17.66020968090743,346,1660.9432142445153,0.004826087219787392,3.300579766448579,2.7056230808333155e-09,55031282.89390909,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
CG,27647.788316042057,1.0,27647.788316042057,6.585347843822092,130,5565.654948255968,0.016171736628420547,11.2191365633489,9.196794799926752e-09,483214308.3638483,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
PCG,27647.788316042057,1.0,27647.788316042057,13.367431030143052,261,5565.654399900849,0.016171735035103205,11.255991629685315,9.227006437027328e-09,483214308.3642961,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSQR,27647.788316042057,1.0,27647.788316042057,7.038580896798521,136,5565.654801004982,0.016171736200563596,5.059194766055656,4.147233243267397e-09,483214308.3636551,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSMR,27647.788316042057,1.0,27647.788316042057,6.642319888807833,129,5565.654806358625,0.016171736216119306,6.122941645662683,5.0192309870837875e-09,483214308.36426,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
CG,27647.788316042057,1.0,27647.788316042057,6.5941640608944,130,5565.654948255968,0.016171736628420547,11.2191365633489,9.196794799926752e-09,483214308.3638483,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
PCG,27647.788316042057,1.0,27647.788316042057,13.362582019064575,261,5565.654399900849,0.016171735035103205,11.255991629685315,9.227006437027328e-09,483214308.3642961,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSQR,27647.788316042057,1.0,27647.788316042057,7.041983958333731,136,5565.654801004982,0.016171736200563596,5.059194766055656,4.147233243267397e-09,483214308.3636551,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSMR,27647.788316042057,1.0,27647.788316042057,6.6525043891742826,129,5565.654806358625,0.016171736216119306,6.122941645662683,5.0192309870837875e-09,483214308.36426,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
CG,27647.788316042057,1.0,27647.788316042057,6.658451481722295,130,5565.654948255968,0.016171736628420547,11.2191365633489,9.196794799926752e-09,483214308.3638483,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
PCG,27647.788316042057,1.0,27647.788316042057,13.39069617073983,261,5565.654399900849,0.016171735035103205,11.255991629685315,9.227006437027328e-09,483214308.3642961,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSQR,27647.788316042057,1.0,27647.788316042057,7.119129546917975,136,5565.654801004982,0.016171736200563596,5.059194766055656,4.147233243267397e-09,483214308.3636551,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSMR,27647.788316042057,1.0,27647.788316042057,6.722183623816818,129,5565.654806358625,0.016171736216119306,6.122941645662683,5.0192309870837875e-09,483214308.36426,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
CG,276477.8831604206,10.0,27647.788316042057,2.5550040639936924,50,21034.751673975803,0.061119215488261415,8.653703195922686,7.0938019252182845e-09,4000873493.9040637,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
PCG,276477.8831604206,10.0,27647.788316042057,4.202247265260667,80,21034.75166619495,0.061119215465653125,11.003913463161005,9.020367436068966e-09,4000873493.90414,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSQR,276477.8831604206,10.0,27647.788316042057,2.639823048841208,50,21034.751683429586,0.061119215515730616,8.931619930610466,7.3216218796289515e-09,4000873493.9040637,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSMR,276477.8831604206,10.0,27647.788316042057,2.525214998051524,48,21034.751687126045,0.061119215526471156,11.005646334407743,9.021787943002005e-09,4000873493.904237,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
CG,276477.8831604206,10.0,27647.788316042057,2.5472402377054095,50,21034.751673975803,0.061119215488261415,8.653703195922686,7.0938019252182845e-09,4000873493.9040637,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
PCG,276477.8831604206,10.0,27647.788316042057,4.2013834891840816,80,21034.75166619495,0.061119215465653125,11.003913463161005,9.020367436068966e-09,4000873493.90414,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSQR,276477.8831604206,10.0,27647.788316042057,2.646983574144542,50,21034.751683429586,0.061119215515730616,8.931619930610466,7.3216218796289515e-09,4000873493.9040637,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSMR,276477.8831604206,10.0,27647.788316042057,2.526136147323996,48,21034.751687126045,0.061119215526471156,11.005646334407743,9.021787943002005e-09,4000873493.904237,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
CG,276477.8831604206,10.0,27647.788316042057,2.563634745310992,50,21034.751673975803,0.061119215488261415,8.653703195922686,7.0938019252182845e-09,4000873493.9040637,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
PCG,276477.8831604206,10.0,27647.788316042057,4.199221257586032,80,21034.75166619495,0.061119215465653125,11.003913463161005,9.020367436068966e-09,4000873493.90414,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSQR,276477.8831604206,10.0,27647.788316042057,2.641083750873804,50,21034.751683429586,0.061119215515730616,8.931619930610466,7.3216218796289515e-09,4000873493.9040637,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSMR,276477.8831604206,10.0,27647.788316042057,2.5212076622992754,48,21034.751687126045,0.061119215526471156,11.005646334407743,9.021787943002005e-09,4000873493.904237,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
CG,2764778.8316042055,100.0,27647.788316042057,1.0306867267936468,20,88160.52043414734,0.2561618948246645,6.408214799874916,5.253081305814075e-09,26204767139.77355,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
PCG,2764778.8316042055,100.0,27647.788316042057,1.3092385837808251,23,88160.520405215,0.2561618947405978,12.05344580891364,9.880712932825407e-09,26204767139.773567,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSQR,2764778.8316042055,100.0,27647.788316042057,1.0593855939805508,19,88160.52043415203,0.2561618948246781,18.164243901601232,1.4889989342368995e-08,26204767139.773598,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSMR,2764778.8316042055,100.0,27647.788316042057,1.0522717670537531,19,88160.52043418473,0.25616189482477314,17.020575845539476,1.3952476872363775e-08,26204767139.7736,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
CG,2764778.8316042055,100.0,27647.788316042057,1.0375278419815004,20,88160.52043414734,0.2561618948246645,6.408214799874916,5.253081305814075e-09,26204767139.77355,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
PCG,2764778.8316042055,100.0,27647.788316042057,1.3108412218280137,23,88160.520405215,0.2561618947405978,12.05344580891364,9.880712932825407e-09,26204767139.773567,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSQR,2764778.8316042055,100.0,27647.788316042057,1.0556457918137312,19,88160.52043415203,0.2561618948246781,18.164243901601232,1.4889989342368995e-08,26204767139.773598,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSMR,2764778.8316042055,100.0,27647.788316042057,1.052294623106718,19,88160.52043418473,0.25616189482477314,17.020575845539476,1.3952476872363775e-08,26204767139.7736,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
CG,2764778.8316042055,100.0,27647.788316042057,1.0393498777411878,20,88160.52043414734,0.2561618948246645,6.408214799874916,5.253081305814075e-09,26204767139.77355,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
PCG,2764778.8316042055,100.0,27647.788316042057,1.3168286960572004,23,88160.520405215,0.2561618947405978,12.05344580891364,9.880712932825407e-09,26204767139.773567,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSQR,2764778.8316042055,100.0,27647.788316042057,1.0578298890031874,19,88160.52043415203,0.2561618948246781,18.164243901601232,1.4889989342368995e-08,26204767139.773598,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSMR,2764778.8316042055,100.0,27647.788316042057,1.0522579266689718,19,88160.52043418473,0.25616189482477314,17.020575845539476,1.3952476872363775e-08,26204767139.7736,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
CG,27647788.31604206,1000.0,27647.788316042057,0.4825911442749202,9,244276.71866819265,0.7097778779826565,2.307475694906917,1.891534197132791e-09,83141530942.52243,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
PCG,27647788.31604206,1000.0,27647.788316042057,0.6040582959540188,9,244276.71866892357,0.7097778779847802,3.1202981036056547,2.557838672470517e-09,83141530942.52243,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSQR,27647788.31604206,1000.0,27647.788316042057,0.4940210282802582,8,244276.71866819292,0.7097778779826572,17.693483447271863,1.4504087336992642e-08,83141530942.52245,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
LSMR,27647788.31604206,1000.0,27647.788316042057,0.4894604650326073,8,244276.71866819385,0.7097778779826599,17.601422955735767,1.4428621507242092e-08,83141530942.52243,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,1,1e-08,10000
CG,27647788.31604206,1000.0,27647.788316042057,0.4797507389448583,9,244276.71866819265,0.7097778779826565,2.307475694906917,1.891534197132791e-09,83141530942.52243,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
PCG,27647788.31604206,1000.0,27647.788316042057,0.6039068810641766,9,244276.71866892357,0.7097778779847802,3.1202981036056547,2.557838672470517e-09,83141530942.52243,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSQR,27647788.31604206,1000.0,27647.788316042057,0.4970839931629598,8,244276.71866819292,0.7097778779826572,17.693483447271863,1.4504087336992642e-08,83141530942.52245,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
LSMR,27647788.31604206,1000.0,27647.788316042057,0.49146076990291476,8,244276.71866819385,0.7097778779826599,17.601422955735767,1.4428621507242092e-08,83141530942.52243,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,2,1e-08,10000
CG,27647788.31604206,1000.0,27647.788316042057,0.4825513269752264,9,244276.71866819265,0.7097778779826565,2.307475694906917,1.891534197132791e-09,83141530942.52243,0,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
PCG,27647788.31604206,1000.0,27647.788316042057,0.6050093178637326,9,244276.71866892357,0.7097778779847802,3.1202981036056547,2.557838672470517e-09,83141530942.52243,0,True,Jacobi diagonal,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSQR,27647788.31604206,1000.0,27647.788316042057,0.49634416215121746,8,244276.71866819292,0.7097778779826572,17.693483447271863,1.4504087336992642e-08,83141530942.52245,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
LSMR,27647788.31604206,1000.0,27647.788316042057,0.49338812101632357,8,244276.71866819385,0.7097778779826599,17.601422955735767,1.4428621507242092e-08,83141530942.52243,2,True,None,True,not applicable for real JP matrix,JP,Harvard_Seismology,87616,67320,13734559,0.0023285586971745556,constructed: A @ ones,3,1e-08,10000
