Solver,Lambda,Time (s),Iterations,Residual,Relative Residual,Normal Equation Residual,Relative Normal Equation Residual,Objective,Info,Converged,Preconditioner,Matrix-Free,Dataset,Group,m,n,Nonzeros,Density,RHS Type,Run,RTOL,Max Iterations
LSMR,0.0001,18.681467582006007,3537,0.06069001323185802,0.0009103253078968577,2.7770659899799445e-06,1.5112331634004736e-08,0.351225981341739,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
PCG,0.0001,24.289491817820817,5000,0.060687095737569495,0.0009102815466790715,0.00019489602511064188,1.0605917814875568e-06,0.3512289131721222,5000,False,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
LSQR,0.0001,25.627828801050782,4737,0.06068317951424846,0.0009102228049354028,3.131667854545641e-06,1.704201605442859e-08,0.3512259494695958,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
LSMR,0.0001,18.81638327986002,3537,0.06069001323185802,0.0009103253078968577,2.7770659899799445e-06,1.5112331634004736e-08,0.351225981341739,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
PCG,0.001,15.030802357010543,3007,0.18129911142476177,0.0027194123158064804,1.8147179526811482e-06,9.875393534777934e-09,3.4325043881080943,0,True,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
LSQR,0.001,9.188733715098351,1666,0.18129894998999965,0.0027194098943512574,5.761806111829164e-06,3.13547913830548e-08,3.432504388224952,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
LSMR,0.001,7.449945421889424,1370,0.18130025114810733,0.0027194294111892335,5.385563397805388e-06,2.9307341056083506e-08,3.432504402572847,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
PCG,0.001,14.94069283688441,3007,0.18129911142476177,0.0027194123158064804,1.8147179526811482e-06,9.875393534777934e-09,3.4325043881080943,0,True,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
LSQR,0.001,9.036152764223516,1666,0.18129894998999965,0.0027194098943512574,5.761806111829164e-06,3.13547913830548e-08,3.432504388224952,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
LSMR,0.001,7.3002032758668065,1370,0.18130025114810733,0.0027194294111892335,5.385563397805388e-06,2.9307341056083506e-08,3.432504402572847,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
