Lambda,LSMR,LSQR,PCG,PCG_vs_LSMR_Time_Ratio,PCG_Faster_Than_LSMR
1e-06,26.382534762844443,27.432225099454325,24.023354806161176,0.9105779646311395,True
1e-05,26.604882978834212,27.4534202820311,24.237955097729962,0.9110340803608389,True
0.0001,18.878367346711457,26.080850063978385,24.858782779580604,1.3167866862126143,False
0.001,7.34761747221152,9.143149979102114,14.792025944528481,2.013173113661878,False
0.01,2.9418638626423976,3.4014696795493364,4.1647794847376645,1.415694158259532,False
0.1,1.1514842997615535,1.2729139304719865,1.095225074638923,0.951141995479851,True
1.0,0.45830808331569034,0.4908939680705468,0.33796211347604793,0.7374125087016061,True
