Sparsity,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
0.0,CG,0.0002646934512692193,4.195544955393673e-05,9.225,2.998129252169923,0.8674141486180738
0.0,Direct,0.0008017938040817777,1.880765309461787e-05,1.0,2.9981292521699228,0.8674141484404956
0.0,LSMR,0.0010100034337180356,0.0002169677363212827,8.75,2.9981292521699334,0.8674141488756427
0.0,LSQR,0.0009760604162390034,0.0002100173311113869,8.75,2.998129252169925,0.8674141488165611
0.25,CG,0.000313690312517186,4.0969338388053195e-05,7.608333333333333,2.1847895499222316,0.9344439074971904
0.25,Direct,0.00726531605469063,0.005646080108660712,1.0,2.1847895499222316,0.9344439074732318
0.25,LSMR,0.0013467338052578271,0.0006810582875123837,7.108333333333333,2.1847895499222365,0.9344439075728449
0.25,LSQR,0.0012633574195206165,0.0006497053116586537,6.85,2.1847895499222343,0.9344439076356099
0.5,CG,0.0002948570492056509,2.5806748892897514e-05,6.866666666666666,2.0355272729598894,0.9460491411055341
0.5,Direct,0.004450158157851547,0.0023411113131421458,1.0,2.035527272959889,0.9460491410861864
0.5,LSMR,0.0010454990396586558,0.00035315515330070315,6.575,2.0355272729598908,0.946049141128113
0.5,LSQR,0.0009790018433704973,0.00033943279190849226,6.241666666666666,2.0355272729598908,0.9460491412288218
0.75,CG,0.00027517843215415876,2.705918304263436e-05,6.05,1.730163627592554,0.9633748531033219
0.75,Direct,0.0025065331564595303,0.0010666742952178281,1.0,1.730163627592554,0.9633748530872503
0.75,LSMR,0.0007937734248116612,0.00022303979364334605,5.808333333333334,1.7301636275925552,0.9633748531192603
0.75,LSQR,0.0007435512030497194,0.00021950807842725055,5.491666666666666,1.7301636275925547,0.9633748531781251
0.9,CG,0.0002576459781266749,3.5176856206601905e-05,5.391666666666667,1.3831999020936723,0.9760843905030548
0.9,Direct,0.0018219581184287866,0.001252830321890518,1.0,1.3831999020936723,0.9760843904893998
0.9,LSMR,0.0006654491648077965,0.0002596216783773102,5.191666666666666,1.3831999020936732,0.9760843905173765
0.9,LSQR,0.000619901231645296,0.00025633825175702636,4.841666666666667,1.3831999020936727,0.9760843905557839
