m,n,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
500,50,CG,0.00021197812166064977,3.490090057729384e-05,8.8,2.1471246926352037,0.8639557354576115
500,50,Direct,0.00026536891236901284,2.47548065902806e-05,1.0,2.1471246926352032,0.8639557352298513
500,50,LSMR,0.0005199034232646227,0.00010768150597375983,8.5,2.1471246926352108,0.8639557356716543
500,50,LSQR,0.00047950325145696603,9.808433961552372e-05,8.5,2.1471246926352046,0.863955735618066
500,100,CG,0.0002703506926385065,4.169553102255514e-05,9.15,3.0732520222493687,0.8588038568420175
500,100,Direct,0.0005439627527569731,2.2251578731294364e-05,1.0,3.073252022249368,0.8588038566327229
500,100,LSMR,0.0006636252083505194,0.00013988109364166965,8.75,3.0732520222493784,0.8588038570779094
500,100,LSQR,0.000623554204745839,0.0001308225629370742,8.725,3.0732520222493704,0.8588038570495243
500,200,CG,0.00038556721216688553,5.8867992392116635e-05,9.5,4.356532146228476,0.8645537482911736
500,200,Direct,0.0014851964816140631,0.00016706577424975409,1.0,4.356532146228476,0.8645537481723694
500,200,LSMR,0.0009620432974770665,0.0002072795905541299,8.75,4.3565321462284965,0.8645537486802198
500,200,LSQR,0.0009378011377217869,0.00020115099204323747,8.75,4.356532146228479,0.8645537486090703
500,500,CG,0.002208449113337944,0.00036802461612822884,9.5,6.831791341619035,0.8637491852922817
500,500,Direct,0.010137867830538501,0.0003526833125537776,1.0,6.831791341619034,0.8637491851667539
500,500,LSMR,0.001688627867648999,0.00035690727946083425,8.75,6.83179134161907,0.8637491857212185
500,500,LSQR,0.001668564424229165,0.00035491700785426515,8.75,6.831791341619041,0.8637491856421985
1000,50,CG,0.00022106497393300137,3.707101115474006e-05,8.9,1.9721302626172548,0.8878085071661
1000,50,Direct,0.0003916004323400557,2.223561908423386e-05,1.0,1.9721302626172543,0.8878085069588537
1000,50,LSMR,0.0006534775020554662,0.0001358997708937203,8.525,1.97213026261726,0.8878085073798594
1000,50,LSQR,0.0006239699005770187,0.0001294483546595456,8.475,1.9721302626172557,0.8878085073870492
1000,100,CG,0.0002852557886702319,4.243669734872335e-05,9.225,2.998129252169923,0.8674141486180738
1000,100,Direct,0.0008317003453460832,1.8306816788524586e-05,1.0,2.9981292521699228,0.8674141484404956
1000,100,LSMR,0.0010091645487894615,0.00021696139127698369,8.75,2.9981292521699334,0.8674141488756427
1000,100,LSQR,0.0009820497245527804,0.00021215492348847738,8.75,2.998129252169925,0.8674141488165611
1000,200,CG,0.00041675876127555966,6.035230060081897e-05,9.45,4.448739594473567,0.8588444665423226
1000,200,Direct,0.0022758545509229105,7.807134394037872e-05,1.0,4.448739594473567,0.8588444663946141
1000,200,LSMR,0.0015841453918255866,0.00034426842869890575,8.75,4.448739594473588,0.8588444669198386
1000,200,LSQR,0.0015623227033453684,0.00033878306568165575,8.75,4.448739594473571,0.8588444668459684
1000,500,CG,0.0011751322269750138,0.00019998387328320027,9.5,6.771502793035085,0.8668873437853878
1000,500,Direct,0.011168580870920172,0.00011110939476691189,1.0,6.771502793035084,0.866887343655013
1000,500,LSMR,0.0027299998716140785,0.0006041164485886812,8.75,6.77150279303512,0.8668873442033186
1000,500,LSQR,0.0027015133644454183,0.0005982577596218849,8.75,6.771502793035091,0.8668873441254824
2000,50,CG,0.0002286544496503969,3.709874396052789e-05,8.925,2.1655317600730024,0.8649468743384642
2000,50,Direct,0.0006584956931571166,2.091829349273802e-05,1.0,2.165531760073002,0.8649468741273968
2000,50,LSMR,0.0009933526278473436,0.000214163465992844,8.525,2.165531760073009,0.864946874581974
2000,50,LSQR,0.0009637221577577293,0.00020760062292311368,8.5,2.1655317600730033,0.8649468745474315
2000,100,CG,0.0002858957896629969,4.0638098034061405e-05,9.275,3.116892471570741,0.8584786221157304
2000,100,Direct,0.0013936662503207724,1.8481664340819164e-05,1.0,3.1168924715707407,0.8584786219489846
2000,100,LSMR,0.0017280614236369729,0.00038125850574813027,8.75,3.1168924715707513,0.8584786223979919
2000,100,LSQR,0.0016943080311951537,0.00037252445095144296,8.7,3.1168924715707433,0.858478622391918
2000,200,CG,0.0004469969154645999,5.993105308866783e-05,9.5,4.3336675534654745,0.8674530235576353
2000,200,Direct,0.0036945396141769985,6.826083320116816e-05,1.0,4.333667553465474,0.8674530234468449
2000,200,LSMR,0.0026173027309899528,0.0005831290102426994,8.75,4.333667553465492,0.8674530239270715
2000,200,LSQR,0.0025951956554005544,0.0005779903137370389,8.75,4.333667553465477,0.8674530238593575
2000,500,CG,0.0011390892129080992,0.00019251052113595458,9.5,6.833059607602377,0.8646997446802104
2000,500,Direct,0.018740539570959905,0.00032145698478705384,1.0,6.833059607602376,0.8646997445505831
2000,500,LSMR,0.004990205867215991,0.001083687855058148,8.75,6.83305960760241,0.8646997450963416
2000,500,LSQR,0.004963372771938642,0.0010588135477993576,8.75,6.833059607602382,0.8646997450181736
5000,50,CG,0.00026670538742716116,3.807971794712084e-05,8.825,2.178199472224558,0.8749459857416052
5000,50,Direct,0.0014879052216808,1.7657621200330267e-05,1.0,2.1781994722245575,0.874945985532624
5000,50,LSMR,0.0019241678877733649,0.000420227828410697,8.5,2.178199472224564,0.8749459859671376
5000,50,LSQR,0.0019070371170528233,0.0004141432870847849,8.475,2.1781994722245597,0.874945985940202
5000,100,CG,0.0003416362994660934,4.145155062323676e-05,9.275,3.137564004580885,0.8609263222012488
5000,100,Direct,0.0030850211740471424,2.927700649650349e-05,1.0,3.137564004580884,0.8609263220337627
5000,100,LSMR,0.003607198603761693,0.0008168785290792555,8.75,3.1375640045808946,0.8609263224789082
5000,100,LSQR,0.003588778409175575,0.0008126112669826748,8.75,3.137564004580886,0.8609263224162456
5000,200,CG,0.0004826852857756118,5.995076982080752e-05,9.5,4.423241952775544,0.8639070420868645
5000,200,Direct,0.008442220231518149,0.00041894077547180696,1.0,4.423241952775544,0.8639070419679016
5000,200,LSMR,0.005833095490622024,0.0013063641503958008,8.75,4.423241952775564,0.8639070424886393
5000,200,LSQR,0.005799594750472655,0.0013049639974418937,8.75,4.423241952775546,0.8639070424123324
5000,500,CG,0.0012275780046669146,0.00020326780673215084,9.5,6.899663871659409,0.8622880229797958
5000,500,Direct,0.04264778501431768,0.0005079810413898152,1.0,6.899663871659409,0.8622880228529987
5000,500,LSMR,0.012884459582467873,0.0027451188186929025,8.75,6.8996638716594445,0.8622880234067334
5000,500,LSQR,0.012884231730519483,0.0027079888014851687,8.75,6.899663871659415,0.862288023327624
