Solver,Time (s),Iterations,Residual,Relative Error
CG,0.0003172007389366627,10.1,2.2899482731271408,0.9328454746887411
Direct,0.0008265921846032142,1.0,2.28994827312714,0.932845474408454
LSMR,0.0011385614052414894,10.0,2.2899482731271457,0.932845474765392
LSQR,0.0010985692497342825,10.0,2.289948273127141,0.9328454747141596
