m,n,Condition Number,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
400,2500,10,0.0,random,exponential,0,Direct,0.33387605044990776,0.0048548981597080956,1.0,6.603913478444645e-12,425.28868404339164
400,2500,10,0.0,random,exponential,0,LSMR,0.03589074229821563,0.00023301221822924812,73.6,1.136389831871831e-06,0.9193802825839006
400,2500,10,0.0,random,exponential,0,LSQR,0.035309174098074436,0.00031453206311199416,72.6,1.1029157709124998e-06,0.9193802825476094
500,50,10,0.0,random,exponential,0,CG,0.0008509720675647259,1.7361284738911264e-05,51.6,0.21256165220926704,0.04106301519531106
500,50,10,0.0,random,exponential,0,Direct,0.0002796486020088196,2.6981408443496033e-05,1.0,0.21256165220925077,0.04106301910920572
500,50,10,0.0,random,exponential,0,LSMR,0.002738263085484505,4.649464959596786e-05,53.0,0.21256165220925727,0.04106301379046666
500,50,10,0.0,random,exponential,0,LSQR,0.002560183685272932,5.8929553155235346e-05,53.6,0.21256165220925244,0.041063016619308265
500,100,10,0.0,random,exponential,0,CG,0.0011929430067539216,3.015898744126047e-05,66.0,0.19891402347293935,0.04803588033054011
500,100,10,0.0,random,exponential,0,Direct,0.0005437083542346955,2.7621998103160107e-05,1.0,0.1989140234729136,0.0480358698166802
500,100,10,0.0,random,exponential,0,LSMR,0.0043500130996108055,8.951981065049296e-05,68.2,0.19891402347292514,0.04803587638688003
500,100,10,0.0,random,exponential,0,LSQR,0.004258870985358954,4.7773980511463185e-05,70.4,0.1989140234729166,0.04803587082277237
500,500,10,0.0,random,exponential,0,CG,0.006510142236948013,0.00010626779580120895,81.2,2.205184282283799e-07,0.047027623604124213
500,500,10,0.0,random,exponential,0,Direct,0.008466756902635098,9.64083292929332e-05,1.0,4.061979221053786e-14,0.047027624416116263
500,500,10,0.0,random,exponential,0,LSMR,0.012313822656869889,9.65752574192263e-05,74.2,1.255904954149114e-06,0.04702760988800205
500,500,10,0.0,random,exponential,0,LSQR,0.011820906866341829,0.0001597403181932134,73.0,1.2721897193568983e-06,0.047027615779423916
500,2000,10,0.0,random,exponential,0,CG,0.0958712768740952,0.0009265531070681397,81.2,2.239356118579343e-07,0.8651796641171344
500,2000,10,0.0,random,exponential,0,Direct,0.19994418025016786,0.004938639498774601,1.0,4.563167832744965e-12,232.04357854295637
500,2000,10,0.0,random,exponential,0,LSMR,0.034266406949609515,0.0002478798600270807,74.2,1.3072789527842221e-06,0.865179663568829
500,2000,10,0.0,random,exponential,0,LSQR,0.03376929732039571,0.00017788670586442833,73.0,1.3133755104065886e-06,0.8651796637928367
500,2500,10,0.0,random,exponential,0,CG,0.1546910721808672,0.0007460102452609766,81.2,2.2790373344582617e-07,0.8922055107498336
500,2500,10,0.0,random,exponential,0,Direct,0.34523742320016026,0.005694377194699057,1.0,2.389302302378803e-12,120.89102680314356
500,2500,10,0.0,random,exponential,0,LSMR,0.04408822963014245,0.00024013447629630668,74.2,1.3217938904695399e-06,0.8922055109478751
500,2500,10,0.0,random,exponential,0,LSQR,0.04334132047370076,9.955801680332166e-05,73.0,1.3302648766868832e-06,0.8922055109184248
1000,50,10,0.0,random,exponential,0,CG,0.0008483843877911568,3.0013260487521543e-05,51.0,0.30656806227764166,0.043053094187839126
1000,50,10,0.0,random,exponential,0,Direct,0.00040522124618291855,3.2960836732351804e-05,1.0,0.3065680622776326,0.043053095859061884
1000,50,10,0.0,random,exponential,0,LSMR,0.0034317785874009134,8.222748652250949e-05,51.6,0.30656806227764044,0.04305309751896773
1000,50,10,0.0,random,exponential,0,LSQR,0.0032914873212575913,5.392938527317155e-05,52.0,0.30656806227763655,0.04305309876889609
