Sparsity Pattern,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
block,CG,0.00029769994240875044,1.288334073256163e-05,7.7,1.948351523279418,0.9548709810452215
block,Direct,0.0035406663509396216,3.426780079383491e-05,1.0,1.948351523279418,0.9548709810122584
block,LSMR,0.001018542458768934,5.8187847180268365e-05,7.241666666666666,1.9483515232794208,0.9548709810855612
block,LSQR,0.0009715951901550095,6.54905423694322e-05,7.1,1.948351523279419,0.9548709811120156
random,CG,0.0002572518579351405,1.3279994689309854e-05,5.308333333333334,2.0691912738078653,0.9524718106738826
random,Direct,0.002285375007583449,3.7747837098685694e-05,1.0,2.0691912738078653,0.9524718106726084
random,LSMR,0.0007528968698655565,2.384907851775619e-05,5.0,2.0691912738078657,0.9524718106783159
random,LSQR,0.0007053000192778806,3.548273439486764e-05,4.833333333333333,2.0691912738078653,0.9524718106879514
